stock_code,evidence_ref,first_confirmed,review_by
ACHC,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
APLS,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
BIDU,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
BK,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
BLD,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
BRBR,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CCEP,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CERT,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CLVT,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CNXC,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
COTY,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CTRA,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CWEN-A,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
CXT,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
DJT,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
DV,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
DXC,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
ERIE,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
HOLX,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
IAC,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
JD,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
JHG,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
MELI,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
MNDY,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
NSA,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
NXPI,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
PDD,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
PSKY,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
PSTG,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
SATS,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
SPY,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
STX,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
TEL,"存在于 US product universe(stock_info market=US),2026-08-12 不在 RUSSELL1000 解析集合,经项目所有者确认纳入自动 SEC 同步(US_PHASE_C_UNIVERSE_SCOPE_SUPPLEMENT_TASK.md)",2026-08-12,2026-11-12
