stock_code,latest_report_date,prior_year_report_date,latest_period_days,prior_year_period_days,max_period_diff_days,fiscal_period_raw,evidence_ref,reviewed_at
ARW,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
BC,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
CGNX,2026-04-05,2025-03-30,94.0,88.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
COKE,2026-04-03,2025-03-28,92.0,86.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
FTV,2026-04-03,2025-03-28,92.0,86.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
GD,2026-04-05,2025-03-30,94.0,88.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
GTES,2026-03-28,2025-03-29,86.0,90.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
ITT,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
KO,2026-04-03,2025-03-28,92.0,86.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
LEA,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
LHX,2026-04-03,2025-03-28,90.0,83.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
MHK,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
MSI,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
MTSI,2026-04-03,2025-04-04,181.0,188.0,7,Q2,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
NVST,2026-04-03,2025-03-28,92.0,86.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
ONTO,2026-03-31,2025-03-29,86.0,90.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
RAL,2026-04-03,2025-03-28,92.0,86.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
RVTY,2026-04-05,2025-03-30,97.0,90.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
SEB,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
SNDK,2026-04-03,2025-03-28,279.0,272.0,7,Q3,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
STX,2026-01-02,2024-12-27,188.0,181.0,7,Q2,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
VNT,2026-04-03,2025-03-28,92.0,86.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
WAT,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
WDC,2026-04-03,2025-03-28,279.0,272.0,7,Q3,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
ZBRA,2026-04-04,2025-03-29,93.0,87.0,7,Q1,ttm_52_53_week_candidates.csv; fiscal_period_raw match; period_diff 4-7,2026-08-04
