strategy,single_side_cost_bps,rebalance_index,rebalance_date,total_value,cash,turnover,cumulative_costs,holdings_json,holdings_sha256
us_candidate_A,0,1,2021-06-30,1000000,1000000,0,0,{},44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
us_candidate_A,0,2,2021-12-31,1107056.7616944157,0,0.33930604051032698,0,"{""ACGL"":""428.00890258517381"",""ACI"":""847.74499830451009"",""ALSN"":""698.98786557065364"",""AMKR"":""704.12617941135056"",""BJ"":""350.28723553313722"",""BOKF"":""192.45573518090842"",""CBOE"":""139.99720005599889"",""CBSH"":""223.53361945636624"",""CNC"":""228.52964029434617"",""COKE"":""41.44596689296165"",""CSX"":""865.89082848434475"",""DKS"":""443.60160140178107"",""DTE"":""128.6008230452675"",""ELV"":""72.754787265002037"",""EVR"":""118.39643863512586"",""EXP"":""117.28004128257453"",""FAF"":""445.51367726989218"",""FNF"":""639.15733496957614"",""FRHC"":""255.81990278843693"",""GL"":""174.97812773403325"",""GM"":""469.45711978667867"",""HOLX"":""249.80015987210234"",""HRB"":""709.82396365701311"",""IBM"":""189.49299254913552"",""LAZ"":""368.32412523020258"",""LOPE"":""308.74489027206602"",""LPX"":""276.44164316912702"",""MO"":""349.55257270693517"",""MOH"":""109.76755622294229"",""MUSA"":""208.27605741754351"",""OMC"":""347.2656304260255"",""PAG"":""367.966323722053"",""PB"":""232.12627669452183"",""PEG"":""278.98672023211697"",""PGR"":""169.70437497878697"",""PHM"":""509.0301956712072"",""PRI"":""108.83287623525317"",""SGI"":""425.27855745513318"",""URI"":""87.074943662511458"",""V"":""118.79983653142493"",""VIRT"":""603.20907226444695"",""VRTX"":""82.659657127742236"",""VZ"":""495.76615701905723"",""WSM"":""278.38674879075757"",""WTM"":""14.51762294248989"",""WY"":""484.21460391245404""}",199033131d5ff5c5910be85693e3d89e3c1cc2a9e1f93430e95b18504f2c9f21
us_candidate_A,0,3,2022-06-30,979968.70642105793,0,0.53212047593997602,0,"{""ACGL"":""415.09439883555143"",""ACI"":""611.16084889831939"",""ALSN"":""1171.3646827789817"",""BJ"":""275.51061711572737"",""CMS"":""283.64252157171808"",""COKE"":""29.798520693551673"",""DKS"":""370.28529627807626"",""DTE"":""154.34955687000385"",""EBAY"":""277.45783501113175"",""EVR"":""135.81852063481975"",""EXP"":""110.8431216402755"",""FAF"":""544.28104587774487"",""FDX"":""71.338331380452601"",""FNF"":""816.00433535868126"",""GL"":""196.87309035681031"",""HOLX"":""240.99981750575054"",""HPE"":""1170.0029187216398"",""HRB"":""783.14711495077518"",""IBM"":""318.56281773915896"",""KEY"":""797.70627013576575"",""LAD"":""62.134857815255977"",""LAZ"":""422.89585212560763"",""LITE"":""174.4440392194409"",""LOPE"":""496.78107827576702"",""LPX"":""235.49388676758471"",""MOH"":""191.8701340771386"",""MUSA"":""213.70762005127477"",""OMC"":""581.12605730880296"",""PAG"":""397.1190656502144"",""PB"":""255.19980675297734"",""PGR"":""179.74618634427921"",""PRI"":""120.38197969752893"",""REGN"":""29.216724772359168"",""SFM"":""2056.2686067134855"",""SGI"":""392.32290087689262"",""TOL"":""254.8825256007772"",""V"":""196.479655848904"",""VIRT"":""639.99119071246139"",""VZ"":""819.45931907267106"",""WSM"":""109.09327752758388"",""WY"":""448.05599874308552""}",39c5e21f91639190abbb61a39ee7350e6de4a6dde04f5449b9b52f9d782540dc
us_candidate_A,0,4,2022-12-30,1132771.0205161152,0,0.42388512535050643,0,"{""ABBV"":""106.63888596033102"",""ACI"":""654.91920606625456"",""ALLY"":""487.40112723617727"",""ALSN"":""455.12200744058049"",""AN"":""146.14183763139135"",""AXP"":""117.82435271738781"",""BLDR"":""630.02333258425733"",""BYD"":""328.29772409415676"",""CE"":""148.79211959944155"",""CF"":""190.51454302676191"",""CLF"":""1062.6422754511582"",""CNH"":""1409.2158562281536"",""COF"":""156.75987881451482"",""COP"":""181.85961222229483"",""CROX"":""359.55293170516376"",""DKS"":""232.18045888404296"",""DVA"":""218.85244104665233"",""ETSY"":""223.09536639372081"",""FAF"":""330.67727109014209"",""FCX"":""558.19589110335949"",""FNF"":""473.4697290608853"",""GM"":""550.9899617786624"",""HOG"":""515.8816100342483"",""HRB"":""462.42388940216023"",""HUN"":""617.26423936826518"",""LAD"":""63.678327521161236"",""LOPE"":""185.78873751024867"",""LPX"":""311.63540877092731"",""M"":""891.5290269478329"",""MOH"":""62.585176446086763"",""MRNA"":""114.3353991857494"",""MUSA"":""75.14682520758501"",""NLY"":""2763.5891326030965"",""NRG"":""886.35716425922499"",""NUE"":""156.42957354357151"",""NVR"":""4.3703369977299298"",""OLN"":""352.9129596733859"",""PAG"":""167.15484942296609"",""PFE"":""645.28424489366057"",""PRU"":""170.70246418984425"",""REGN"":""57.233185525645155"",""RH"":""82.443424036984453"",""RITM"":""1752.447615202178"",""SAIC"":""187.96392251439659"",""SFM"":""691.1311684869795"",""SGI"":""818.87885756154981"",""SYF"":""591.34003525287108"",""THC"":""332.94218390582802"",""V"":""88.879278714461478"",""WEC"":""162.28946515982014"",""WHR"":""112.99439004384529"",""WMB"":""523.31982613535081"",""WSM"":""157.72366999630754"",""WY"":""493.14045210399462""}",5852698093111bc20872016522003350bb3bd737f7079affa299a62b06509442
us_candidate_A,0,5,2023-06-30,1323263.2116062143,0,0.61885019733718793,0,"{""ABBV"":""116.82146530908928"",""ACI"":""1517.1582295565672"",""ALLY"":""772.16838480989452"",""ALSN"":""756.39090579334618"",""AN"":""175.95076429265538"",""AXP"":""127.78014895838864"",""BLDR"":""775.97686019736625"",""BX"":""254.47522588761183"",""BYD"":""346.22257488725324"",""CE"":""307.76468780323944"",""CF"":""221.59057521833239"",""CLF"":""1171.9129117692069"",""COP"":""159.99590685255865"",""DBX"":""843.58878501349068"",""DOW"":""374.66793031557688"",""DVA"":""421.39897791620729"",""EXPD"":""302.78927714591225"",""FAF"":""601.18191977461208"",""FCX"":""496.82939496320841"",""FNF"":""836.41312283368427"",""GM"":""935.37044236038048"",""GS"":""54.981411289539054"",""HOLX"":""420.61036868070045"",""HUM"":""61.433963335877692"",""HUN"":""1145.0459127002621"",""INTC"":""1190.5358184261522"",""LPX"":""318.91076028043784"",""M"":""914.26232487176378"",""MKSI"":""222.81974517410504"",""MRNA"":""105.10810048213963"",""MUSA"":""112.56300236461043"",""NLY"":""895.61276131887678"",""NUE"":""143.23281244671816"",""NVR"":""6.8217487135189421"",""OLN"":""356.62102396301327"",""OMF"":""566.78225783854452"",""ON"":""302.70189207314286"",""PAG"":""273.78283895417383"",""PVH"":""267.45313796007821"",""RITM"":""2310.8343951777138"",""ST"":""467.54623597330163"",""SYF"":""574.54403556305294"",""V"":""242.32469527149175"",""WEC"":""201.36003635454267"",""WSM"":""273.80666273062303"",""WY"":""609.01667769683615""}",19e29d96901fd5668b0e365617b8f31c2f0ceedca64840626cd65f237e59dcb3
us_candidate_A,0,6,2023-12-29,1413633.530278703,0,0.43116025039772554,0,"{""AAL"":""1229.3415195152493"",""AEE"":""270.04269450353337"",""ALSN"":""781.2393503401903"",""AMG"":""147.13714630798302"",""AMGN"":""99.335135844084192"",""AMP"":""66.396877589425486"",""BJ"":""350.01407491038839"",""BKNG"":""8.1672932049429416"",""BLDR"":""486.49382779640234"",""CF"":""317.69499942528915"",""CHRW"":""467.50157626080704"",""CROX"":""392.2872084685801"",""CSL"":""85.971959849154388"",""DAL"":""463.91221834462709"",""DINO"":""494.38213091467321"",""DOW"":""414.08912617543319"",""DVA"":""439.02432288451422"",""ELV"":""99.279240406507327"",""EQH"":""812.01718925270882"",""EXPD"":""364.14409081323493"",""GM"":""1143.8997334078615"",""GPK"":""917.78555389527969"",""HBAN"":""2045.8614898055264"",""HOLX"":""544.75452291227793"",""HUM"":""98.64865636438428"",""LAZ"":""689.19958937823662"",""LEN"":""351.99723661485228"",""LNG"":""144.75181714428703"",""MOS"":""630.12533886010203"",""MUSA"":""70.889353798025041"",""NI"":""806.37611919939934"",""NVR"":""6.945585426337451"",""PFE"":""601.26463631689126"",""PFG"":""290.80151450558503"",""PK"":""1720.3109875275798"",""SYY"":""297.22893342457644"",""UAL"":""401.93888937677372"",""V"":""278.60519024890817"",""VLO"":""188.01693827880283"",""WMB"":""675.89294698447964"",""WSM"":""352.47541729428752"",""WTM"":""15.878917179733438"",""WU"":""3760.3387655760566""}",9204ca22a83d69d31e894b6867ec19d5e0f654eb98082cd7c7dca291481d2635
us_candidate_A,0,7,2024-06-28,1553126.3001304485,0,0.61705221826919998,0,"{""AAL"":""1714.7422735064326"",""ALSN"":""1215.5060449515931"",""AMG"":""155.59740350005538"",""AMP"":""62.029220540711329"",""BKNG"":""6.6419784614369517"",""BLDR"":""282.26379343450799"",""CF"":""296.35923066639475"",""CHRW"":""545.4464368093154"",""CNM"":""583.03783315957401"",""CROX"":""504.4547444166231"",""CSL"":""75.410680273912178"",""CTRA"":""923.21939020291472"",""DAL"":""585.64650355402398"",""DINO"":""423.97982432928529"",""DOW"":""429.62361119581294"",""DVA"":""449.80066510077091"",""EEFT"":""232.14660398047477"",""EPR"":""486.28604412752082"",""EQH"":""707.52428942878032"",""EXPE"":""155.21812265615907"",""GM"":""1311.8351246090413"",""GPK"":""955.80360397478239"",""HBAN"":""1852.2451916649673"",""HRB"":""974.18064246344352"",""KNSL"":""70.34892609351283"",""LEN"":""316.16423561431003"",""MCHP"":""261.26146416032805"",""MOH"":""195.62612857085367"",""MOS"":""659.40550903941744"",""MUSA"":""66.077403068146694"",""PFE"":""818.35911212151393"",""PFG"":""299.48593921416528"",""PHM"":""456.51150625805815"",""RITM"":""2206.0448350167026"",""SNX"":""218.94395351713024"",""SON"":""421.70321886483595"",""SSB"":""278.98826332715669"",""THC"":""623.54264491142999"",""TOL"":""458.42122459341141"",""UAL"":""571.02663204019348"",""V"":""180.99142568064818"",""VZ"":""1249.8970205824073"",""WU"":""3953.1138989896613""}",61584a5344fe5a41adeafd474a60981ba1a38e46cfd0ee594d652defb2f581b3
us_candidate_A,0,8,2024-12-31,1611979.378895123,0,0.39613031763841527,0,"{""ACGL"":""256.5709023243877"",""ADM"":""475.79153268095718"",""AGCO"":""293.84550623788175"",""ALSN"":""378.94068709570303"",""AM"":""3707.3973192721396"",""APO"":""219.2380650081094"",""ARW"":""238.17156467840229"",""AXP"":""111.79200317645206"",""BG"":""269.37902173423117"",""BYD"":""991.77924657116762"",""CCL"":""1382.7691418540319"",""CE"":""213.22261213258111"",""CF"":""388.04098961904833"",""CNH"":""2839.249570638091"",""CNM"":""587.6910124757635"",""CPAY"":""97.163914025402477"",""CPNG"":""1235.5817821244618"",""CROX"":""197.07823866358683"",""CVNA"":""201.09880621121408"",""DAL"":""545.6458333791627"",""EEFT"":""250.100853483164"",""EOG"":""434.15457603933692"",""EXPE"":""205.45629284472955"",""F"":""2064.2295323371195"",""FRHC"":""343.30820073617338"",""GL"":""314.60182712089784"",""GM"":""619.06151852268317"",""HALO"":""494.3742997614109"",""HOG"":""857.53125076219033"",""KNSL"":""67.186042191412682"",""KO"":""406.6840272664175"",""LEA"":""226.64773956315102"",""MGM"":""647.20067845553251"",""MIDD"":""234.57791493812792"",""MPC"":""315.00482180119519"",""MTB"":""171.01901648723225"",""NEU"":""55.786019649250072"",""NUE"":""181.94330813868839"",""OLN"":""610.00208166625373"",""PEG"":""351.22711445736059"",""RNR"":""115.81333423787515"",""TGT"":""174.8543524419581"",""THC"":""216.20384988772355"",""TOL"":""249.71000304361749"",""V"":""109.58051644212237"",""VICI"":""903.8211709325235"",""VLO"":""165.12782811627633"",""VOYA"":""363.81501525660536"",""VZ"":""697.41993575567074"",""WCC"":""181.43829264801829"",""WFRD"":""211.39598477343793"",""WSC"":""687.71090158096376"",""WU"":""2353.649603155799""}",18de51b7b3c778461a302270f7b4b533848b5b5efffa2cc886f81fe02cee9fc8
us_candidate_A,0,9,2025-06-30,1624759.4952217394,0,0.63063188557558458,0,"{""ACGL"":""290.91849465712386"",""ADM"":""638.15494018017534"",""AIZ"":""126.0028279785451"",""AM"":""3916.892681211918"",""AMP"":""50.459821913839164"",""ARW"":""285.00342625444182"",""BLDR"":""225.56207638636016"",""CE"":""465.82267848435868"",""CF"":""377.86670860176349"",""CROX"":""539.63216068189399"",""DAL"":""444.07145424108074"",""DVA"":""215.57731580008331"",""DVN"":""985.0164246227456"",""EEFT"":""261.24390297146425"",""EOG"":""482.18233447126647"",""EXPE"":""144.18678141783602"",""F"":""2713.7699981399378"",""FITB"":""635.43810268650384"",""FRHC"":""205.57290520763169"",""GEN"":""981.23896937857512"",""GL"":""240.91035672153322"",""GM"":""605.21095509484621"",""HAL"":""1185.714879658053"",""HOG"":""1070.0161824727004"",""HOOD"":""721.04999950578065"",""JPM"":""112.07844053892363"",""KNSL"":""57.760890464139884"",""LEN"":""236.41260964950106"",""MGM"":""1705.7982845451038"",""MIDD"":""238.01836528536333"",""MPC"":""423.69828358055804"",""MTB"":""142.8983723290537"",""NOV"":""1840.159108327766"",""NSA"":""708.68696865168522"",""OLN"":""953.83395200894859"",""OVV"":""796.03919945438179"",""PEG"":""317.98228170890502"",""PEP"":""176.68238183339065"",""RNR"":""107.97927326709291"",""SJM"":""243.97314730825812"",""SLGN"":""619.39649525268896"",""TDC"":""1034.9787344430968"",""THC"":""255.40352988911084"",""V"":""102.01109852519447"",""VICI"":""919.76456629871223"",""VLO"":""219.15590979350179"",""VOYA"":""390.32867908739485"",""VZ"":""806.19123725687575"",""WFRD"":""375.07082202408748"",""WU"":""3041.4705262172133""}",0053c400240ccd5595e5664a93d03d7c0c1c51c705aea1419cb8028ecef8337b
us_candidate_A,0,10,2025-12-31,1753590.5716524054,0,0.41085181853512875,0,"{""ALK"":""547.27819159988542"",""APA"":""1931.1568393535779"",""BLDR"":""302.68967856523216"",""CCL"":""962.99164012668302"",""CF"":""383.92237599757539"",""CROX"":""348.74465434218934"",""DAL"":""718.19557933665999"",""DUK"":""229.48580440985023"",""DVA"":""438.04972630494399"",""DVN"":""1110.3696507946224"",""EEFT"":""348.4006568531953"",""EOG"":""295.30021396017838"",""EVRG"":""392.85253039840887"",""EXPE"":""369.93231866338192"",""FITB"":""658.38378119042852"",""FNF"":""483.04182876136866"",""FTI"":""786.27540419170521"",""HAL"":""1733.1137679969058"",""HALO"":""520.55603460904126"",""HOG"":""1496.6465504990226"",""HOOD"":""289.21632938547828"",""IBKR"":""488.70826421877513"",""INGR"":""260.43989523504598"",""IRDM"":""897.55800200073998"",""KNSL"":""55.960580533916776"",""LAZ"":""564.38776407591354"",""LNC"":""782.63944856538512"",""LVS"":""622.3701429639699"",""META"":""36.688378003173497"",""MGM"":""1027.0677113049414"",""MRK"":""342.083437599322"",""MUSA"":""66.566678761952616"",""NVR"":""3.6664732631020556"",""OC"":""256.84161279651642"",""OMC"":""490.97662763103892"",""PEP"":""205.0842541681485"",""PGR"":""101.4738998739501"",""SLB"":""1044.9958163247616"",""SYF"":""405.74355589395157"",""TDC"":""1583.1850556601048"",""UAL"":""340.06435916567034"",""V"":""99.481364855025873"",""VIRT"":""604.58416879576532"",""VST"":""139.72098921811221"",""VZ"":""816.28977563616672"",""WEN"":""3092.894797878891"",""WFRD"":""538.24935242222875"",""WMT"":""276.94134710945315"",""WU"":""4194.8763173131756"",""XOM"":""251.1996745859214"",""YETI"":""1120.5856152213496""}",5e9ffe2fa430688a20e4d120da6b7da7c48209f194d8c15682fb15e30eaf66a2
