candidate,single_side_cost_bps,rebalance_date,sub_strategy,preset,allocation,sub_nav,nav_weight,holding_count,holdings_json,holdings_sha256
A,0,2021-06-30,growth,growth_value,0.5,500000.00000000006,0.50000000000000011,30,"[""ACGL"", ""ACI"", ""AMKR"", ""BJ"", ""BOKF"", ""CBOE"", ""CBSH"", ""CNC"", ""COKE"", ""DKS"", ""DTE"", ""EVR"", ""EXP"", ""FRHC"", ""GL"", ""HOLX"", ""HRB"", ""LAZ"", ""LPX"", ""MO"", ""PB"", ""PEG"", ""PGR"", ""PRI"", ""SGI"", ""VIRT"", ""VRTX"", ""WSM"", ""WTM"", ""WY""]",62fd1a60a8111d93903ba698558ae84802d80aa973877dc67828180d378545c5
A,0,2021-06-30,quality,fcf_roe_value,0.5,500000,0.5,18,"[""ALSN"", ""CSX"", ""DKS"", ""ELV"", ""FAF"", ""FNF"", ""GM"", ""IBM"", ""LOPE"", ""MOH"", ""MUSA"", ""OMC"", ""PAG"", ""PHM"", ""URI"", ""V"", ""VZ"", ""WSM""]",5f5dae480556e441bff02fddaa3d55290433e4468d944f8722b856db90614e7f
A,0,2021-12-31,growth,growth_value,0.5,553528.38084720785,0.5,30,"[""ACGL"", ""ACI"", ""BJ"", ""CMS"", ""COKE"", ""DTE"", ""EBAY"", ""EVR"", ""EXP"", ""FDX"", ""GL"", ""HOLX"", ""HPE"", ""HRB"", ""KEY"", ""LAD"", ""LAZ"", ""LITE"", ""LPX"", ""MOH"", ""PB"", ""PGR"", ""PRI"", ""REGN"", ""SFM"", ""SGI"", ""TOL"", ""VIRT"", ""WSM"", ""WY""]",e44778280d86cffc029d01fde63df89fdb8ecb91a754cd39b02025546e841477
A,0,2021-12-31,quality,fcf_roe_value,0.5,553528.38084720785,0.5,13,"[""ALSN"", ""DKS"", ""FAF"", ""FNF"", ""IBM"", ""LOPE"", ""MOH"", ""MUSA"", ""OMC"", ""PAG"", ""SFM"", ""V"", ""VZ""]",27d76aa6d80f53ea2ec744bd1ad5e573bdd1b7c15970e1862c9c2ca16695180c
A,0,2022-06-30,growth,growth_value,0.5,489984.35321052896,0.5,30,"[""ABBV"", ""ALLY"", ""AN"", ""AXP"", ""BLDR"", ""BYD"", ""CF"", ""CLF"", ""CNH"", ""COF"", ""COP"", ""ETSY"", ""FCX"", ""HOG"", ""HRB"", ""LPX"", ""M"", ""MRNA"", ""NLY"", ""NRG"", ""NUE"", ""OLN"", ""PFE"", ""PRU"", ""REGN"", ""RITM"", ""SYF"", ""WEC"", ""WMB"", ""WY""]",1785604d17a259021d30d33fc05ff6987f2b7d070db5f672263ec5eb7c77c9b8
A,0,2022-06-30,quality,fcf_roe_value,0.5,489984.35321052896,0.5,28,"[""ACI"", ""ALSN"", ""BLDR"", ""CE"", ""CROX"", ""DKS"", ""DVA"", ""FAF"", ""FNF"", ""GM"", ""HUN"", ""LAD"", ""LOPE"", ""MOH"", ""MUSA"", ""NRG"", ""NVR"", ""PAG"", ""PFE"", ""REGN"", ""RH"", ""SAIC"", ""SFM"", ""SGI"", ""THC"", ""V"", ""WHR"", ""WSM""]",28fe25b9159f54b64798c18aaa240b278271dd260b28f572c7a7e3c5ff95700a
A,0,2022-12-30,growth,growth_value,0.5,566385.51025805762,0.5,30,"[""ABBV"", ""ALLY"", ""AN"", ""AXP"", ""BLDR"", ""BX"", ""BYD"", ""CF"", ""CLF"", ""COP"", ""DBX"", ""DOW"", ""FCX"", ""GS"", ""LPX"", ""M"", ""MKSI"", ""MRNA"", ""NLY"", ""NUE"", ""OLN"", ""OMF"", ""ON"", ""PVH"", ""RITM"", ""ST"", ""SYF"", ""V"", ""WEC"", ""WY""]",f0a30e3dbeaf223dc9980f4adbb658ef6b1460769917e7697206b820df1d627f
A,0,2022-12-30,quality,fcf_roe_value,0.5,566385.51025805762,0.5,18,"[""ACI"", ""ALSN"", ""BLDR"", ""CE"", ""DVA"", ""EXPD"", ""FAF"", ""FNF"", ""GM"", ""HOLX"", ""HUM"", ""HUN"", ""INTC"", ""MUSA"", ""NVR"", ""PAG"", ""V"", ""WSM""]",c8bbad0b82b8659a78443b59af8c239522fc71d2c99164d0dc9fcd2314f93a35
A,0,2023-06-30,growth,growth_value,0.5,661631.60580310714,0.5,30,"[""AAL"", ""AEE"", ""AMG"", ""AMGN"", ""AMP"", ""BJ"", ""BKNG"", ""BLDR"", ""CF"", ""CSL"", ""DAL"", ""DINO"", ""DOW"", ""EQH"", ""GPK"", ""HBAN"", ""LAZ"", ""LNG"", ""MOS"", ""MUSA"", ""NI"", ""PFE"", ""PFG"", ""PK"", ""SYY"", ""UAL"", ""V"", ""VLO"", ""WMB"", ""WTM""]",b3bea977e3bbe5c051459a3bce13741ca95f5dcaebda19cba20eed938d44aade
A,0,2023-06-30,quality,fcf_roe_value,0.5,661631.60580310714,0.5,15,"[""ALSN"", ""BLDR"", ""CHRW"", ""CROX"", ""DVA"", ""ELV"", ""EXPD"", ""GM"", ""HOLX"", ""HUM"", ""LEN"", ""NVR"", ""V"", ""WSM"", ""WU""]",4ca7065e990d0fda3faf49a188621d415dca6616749354e5586fc41679e68e86
