group_id,disposition,filing_evidence_ref,filing_statement_line,filing_scope_and_unit,consolidated_fact_id,consolidated_tag,consolidated_value,reviewer_note
EKEY-910a2d078159e7b9,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/R3.htm ; https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/R132.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/R3_cat_results_of_operations.htm 与 R132_cat_segment_recon.htm,"Consolidated Results of Operations: Operating costs 下 ""Cost of goods sold"" = $44,752 (12 Months Ended Dec. 31, 2025)","合并利润表 (Consolidated Results of Operations), USD $ in Millions, 12 Months Ended Dec. 31, 2025",392595,CostOfRevenue,44752000000,"10-K 0000018230-26-000008 合并利润表的合并成本行为 ""Cost of goods sold"" $44,752M (=CostOfRevenue 44,752,000,000);同 accession 的 CostOfGoodsAndServicesSold=49,000,000 出现在 Segment information - Reconciliations of consolidated profit before taxes (Details) (R132) 的 ""Inventory/cost of sales"" methodology differences 行,是分部口径到合并口径的调节项而非合并 COGS;presentation linkbase (cat-20251231_pre.xml) 确认 CostOfRevenue 属于 ConsolidatedResultsofOperations role、CostOfGoodsAndServicesSold 仅属于 segment reconciliation role。交叉核验: FY2025 revenues=67,589,000,000,(67,589-44,752)/67,589=33.8% 毛利率;当前 selector 误选 49M 导致 snapshot 毛利率 0.9993。"
EKEY-a17592a4464bb161,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/R3.htm ; https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/R132.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/R3_cat_results_of_operations.htm 与 R132_cat_segment_recon.htm,"Consolidated Results of Operations: Operating costs 下 ""Cost of goods sold"" = $40,199 (12 Months Ended Dec. 31, 2024 比较列)","合并利润表 (Consolidated Results of Operations), USD $ in Millions, 12 Months Ended Dec. 31, 2024",392589,CostOfRevenue,40199000000,"同一 10-K (0000018230-26-000008) 的 Dec. 31, 2024 比较列:合并利润表 ""Cost of goods sold"" $40,199M (=CostOfRevenue 40,199,000,000);CostOfGoodsAndServicesSold=33,000,000 为 R132 分部调节表 ""Inventory/cost of sales"" methodology differences 行的 2024 列 (33),非合并 COGS;accession 0000018230-25-000008 中同值重复 (fact 392588/392470)。当前 selector 误选 33M 导致 FY2024 snapshot 毛利率 0.9995;按合并行应为 (64,809-40,199)/64,809=38.0%。"
EKEY-f7686bdce67f7c76,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/R3.htm ; https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/R132.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/R3_cat_results_of_operations.htm 与 R132_cat_segment_recon.htm,"Consolidated Results of Operations: Operating costs 下 ""Cost of goods sold"" = $42,767 (12 Months Ended Dec. 31, 2023 比较列)","合并利润表 (Consolidated Results of Operations), USD $ in Millions, 12 Months Ended Dec. 31, 2023",392577,CostOfRevenue,42767000000,"同一 10-K (0000018230-26-000008) 的 Dec. 31, 2023 比较列:合并利润表 ""Cost of goods sold"" $42,767M (=CostOfRevenue 42,767,000,000);CostOfGoodsAndServicesSold=160,000,000 为 R132 分部调节表 ""Inventory/cost of sales"" methodology differences 行的 2023 列 (160),非合并 COGS;该值在 accession 0000018230-24-000009 / -25-000008 中同值重复。当前 selector 恰好选中 CostOfRevenue (早期 filing 建立的可信版本),snapshot FY2023 毛利率 0.362 正确,但同组子项候选仍处于 pending-review,属同一风险模式。"
EKEY-85f8313ffd2c7ec1,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/1051470/000105147025000089/R78.htm ; https://www.sec.gov/Archives/edgar/data/1051470/000105147025000089/R5.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/cci_2024_R78_segment_results.htm 与 cci_2024_R5.htm,"Operating Segment Results: ""Segment cost of operations"" 合计 = 1,806 / 1,935 / 2,024 / 1,953 (FY2024/23/22/21 及追溯列); 利润表成本区为 Site rental + Services and other 两个组成行","分部附注合并合计 (Segment cost of operations), USD $ in Millions; 利润表 Consolidated Statement of Operations",1686193,CostOfRevenue,1953000000,"CCI 的 COGSAS(FY2021=439M)仅对应利润表/分部附注中的 ""Services and other"" 成本组成行;CostOfRevenue=1,953M 是分部附注 Segment cost of operations 的合并合计(1,693 site rental + 113 services adjusted + 股权激励差异),为披露的总成本口径;presentation linkbase 确认 CostOfRevenue 仅在 segment details role、COGSAS 同时在利润表 role 但仅标记 services 组成行。修正后 FY2021 毛利率 ≈ (6,340-1,953)/6,340 = 69.2%。"
EKEY-22daf23ec7094120,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/1051470/000105147025000089/R78.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/cci_2024_R78_segment_results.htm,"Operating Segment Results: ""Segment cost of operations"" 2022 列 = 2,024","分部附注合并合计, USD $ in Millions",1686196,CostOfRevenue,2024000000,"同 CCI FY2021 组:COGSAS=466M 为 services 组成行,CostOfRevenue=2,024M 为 Segment cost of operations 合并合计。修正后 FY2022 毛利率 ≈ (6,986-2,024)/6,986 = 71.0%。"
EKEY-576d981b1ed9c67a,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/1051470/000105147025000089/R78.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/cci_2024_R78_segment_results.htm,"Operating Segment Results: ""Segment cost of operations"" 2023 列 = 1,935","分部附注合并合计, USD $ in Millions",1686198,CostOfRevenue,1935000000,"同上:COGSAS=316M 为 services 组成行,CostOfRevenue=1,935M 为合并合计。修正后 FY2023 毛利率 ≈ (6,981-1,935)/6,981 = 72.3%。"
EKEY-bab0bdcd51f2de5c,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/1051470/000105147025000089/R78.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/cci_2024_R78_segment_results.htm,"Operating Segment Results: ""Segment cost of operations"" 2024 列 = 1,806","分部附注合并合计, USD $ in Millions",1686199,CostOfRevenue,1806000000,"同上:COGSAS=119M(=利润表 Services and other 行)为组成行,CostOfRevenue=1,806M 为合并合计(不含股权激励,与利润表成本区合计 1,847M 的差异为 share-based compensation 口径,见脚注 [1])。修正后 FY2024 毛利率 ≈ (6,568-1,806)/6,568 = 72.5%。"
EKEY-13115ab58b117d87,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/49826/000004982626000008/R3.htm ; https://www.sec.gov/Archives/edgar/data/49826/000004982626000008/itw-20251231_pre.xml ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/itw_2025_R3.htm 与 /tmp/itw_pre.xml,"Statement of Income: ""Cost of revenue"" = 9,429 (FY2022 比较列)","合并利润表 (Statement of Income), USD $ in Millions",3581314,CostOfGoodsAndServicesSold,9429000000,"ITW 利润表唯一成本行 ""Cost of revenue"" 由 COGSAS 标记(FY2022=9,429M);presentation linkbase 确认 COGSAS 属于 StatementofIncome role,而 CostOfRevenue(8,136M)仅出现在 SegmentInformation role,非合并总额——与 CAT 的处置恰好相反,证明无全局规则。修正后 FY2022 毛利率 ≈ (15,932-9,429)/15,932 = 40.8%。"
EKEY-4f99a8bf735c2536,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/49826/000004982626000008/R3.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/itw_2025_R3.htm,"Statement of Income: ""Cost of revenue"" = 9,316 (FY2023 比较列)","合并利润表, USD $ in Millions",3581327,CostOfGoodsAndServicesSold,9316000000,"同上:COGSAS=9,316M 为利润表合并成本行,CostOfRevenue=7,944M 为分部附注行。修正后 FY2023 毛利率 ≈ (16,107-9,316)/16,107 = 42.2%。"
EKEY-8f82a2af2ac8ab47,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/49826/000004982626000008/R3.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/itw_2025_R3.htm,"Statement of Income: ""Cost of revenue"" = 8,858 (FY2024 比较列)","合并利润表, USD $ in Millions",3581339,CostOfGoodsAndServicesSold,8858000000,"同上:COGSAS=8,858M 为利润表合并成本行,CostOfRevenue=7,604M 为分部附注行。修正后 FY2024 毛利率 ≈ (15,898-8,858)/15,898 = 44.3%。"
EKEY-449d47b78d12da19,CONSOLIDATED_TOTAL_PROVEN,https://www.sec.gov/Archives/edgar/data/49826/000004982626000008/R3.htm ; 本地快照 build/financial_comparison/cogs_consolidated_audit/sec_evidence/itw_2025_R3.htm,"Statement of Income: ""Cost of revenue"" = 8,969 (FY2025)","合并利润表, USD $ in Millions",3581345,CostOfGoodsAndServicesSold,8969000000,"同上:COGSAS=8,969M 为利润表合并成本行,CostOfRevenue=7,556M 为分部附注行。修正后 FY2025 毛利率 ≈ (16,044-8,969)/16,044 = 44.1%,与 ITW 披露的 ~44% 毛利率一致。"
